,E13VBetn02q04r1,E13VBetn02q04r2,E13VBetn02q04r3,E13VBetn02q04r4
2018,37.986,40.612,40.452,38.597
2019,158.261,115.503,134.413,136.763
2020,211.041,186.613,216.357,236.191
