,E13VBetn02q03r1,E13VBetn02q03r2,E13VBetn02q03r3,E13VBetn02q03r4
2016,42.87,52.351,48.718,50.403
2017,132.489,182.455,126.255,122.111
2018,216.888,218.869,183.497,133.906
