,E13VBetn01q03r1,E13VBetn01q03r2,E13VBetn01q03r3,E13VBetn01q03r4
2014,48.604,39.121,50.693,36.876
2015,46.507,58.423,64.029,65.367
2016,110.262,109.939,94.727,105.898
2017,67.789,77.06,83.673,53.532
2018,35.796,28.137,21.138,19.587
2019,18.608,1.979,3.329,24.262
2020,22.41,1.859,13.189,66.418
