,E13VBetn01o04r1,E13VBetn01o04r2,E13VBetn01o04r3,E13VBetn01o04r4
2015,55.886,58.996,54.606,54.196
2016,46.247,55.477,58.433,43.103
2017,75.018,61.435,40.25,34.347
2018,305.504,320.038,281.597,277.208
2019,218.963,177.444,164.964,196.74
2020,24.553,38.229,64.676,61.653
