,E13VBetn01o08r1,E13VBetn01o08r2,E13VBetn01o08r3,E13VBetn01o08r4
2016,69.871,68.307,72.399,69.748
2017,47.838,60.908,71.198,50.73
2018,263.052,282.254,266.675,227.206
2019,140.966,187.797,168.65,153.866
2020,4.382,45.293,29.936,45.655
