,E13VBetn01o05r1,E13VBetn01o05r2,E13VBetn01o05r3,E13VBetn01o05r4
2015,45.016,32.057,49.111,46.884
2016,72.141,68.013,75.364,90.397
2017,69.03,53.881,52.177,41.479
2018,346.179,254.395,266.237,315.529
2019,185.102,179.973,184.898,258.141
2020,34.14,45.112,62.5,43.168
