,E13VBetn01o01r1,E13VBetn01o01r2,E13VBetn01o01r3,E13VBetn01o01r4
2013,80.484,98.01,95.53,86.162
2014,72.264,56.139,48.68,46.839
2015,112.895,129.305,104.682,86.745
2016,23.57,36.621,27.162,5.124
2017,61.701,67.419,39.538,42.253
2018,383.966,399.002,459.13,352.643
2019,297.966,282.866,329.474,270.818
2020,152.562,102.571,124.608,103.359
