,E13DBetn01t04r1,E13DBetn01t04r2,E13DBetn01t04r3,E13DBetn01t04r4
2008,104.317,172.701,105.435,89.544
2009,340.221,256.741,300.206,304.969
2010,334.149,316.309,283.949,271.439
2011,255.313,231.04,194.412,222.975
2012,244.58,223.063,165.032,180.644
2013,311.43,242.746,271.698,301.043
2014,172.313,129.64,71.121,95.413
2015,86.62,22.283,40.819,59.336
2016,21.266,72.596,62.422,44.227
2017,9.789,24.191,17.626,12.894
2018,18.478,27.994,26.72,20.137
2019,10.513,7.614,11.483,10.248
2020,20.766,20.446,20.655,14.212
