,E13DBetn01u02r1,E13DBetn01u02r2,E13DBetn01u02r3,E13DBetn01u02r4
2010,53.907,59.197,64.006,92.628
2011,182.051,187.249,174.434,141.398
2012,326.135,353.995,342.651,273.158
2013,201.637,182.056,185.06,175.505
2014,285.181,300.044,241.244,264.003
2015,228.914,270.449,229.406,240.661
2016,35.989,23.219,51.538,72.93
2017,30.876,28.667,85.235,53.846
2018,218.912,128.436,116.095,172.482
2019,229.369,144.595,131.995,189.292
2020,152.343,141.271,136.284,87.217
