,E13DBetn01u04r1,E13DBetn01u04r2,E13DBetn01u04r3,E13DBetn01u04r4
2011,52.89,32.069,48.03,61.805
2012,235.593,245.035,273.611,196.39
2013,196.452,204.341,207.521,224.6
2014,199.521,211.624,218.257,205.738
2015,136.221,129.434,140.816,126.471
2016,90.115,37.971,97.385,185.194
2017,178.424,177.007,195.107,196.39
2018,231.446,318.415,334.181,245.544
2019,211.146,307.182,281.442,228.582
2020,122.42,204.628,276.793,151.061
