,E13DBetn01u05r1,E13DBetn01u05r2,E13DBetn01u05r3,E13DBetn01u05r4
2012,40.362,67.991,47.28,38.547
2013,127.519,129.204,141.839,138.675
2014,182.816,195.483,219.392,205.288
2015,228.077,230.617,228.45,232.825
2016,215.556,160.335,163.34,155.483
2017,92.027,68.419,109.748,127.304
2018,189.294,103.712,216.42,246.634
2019,256.311,163.561,243.198,368.062
2020,251.217,144.707,194.009,259.494
