,E13CBetn07p04r1,E13CBetn07p04r2,E13CBetn07p04r3,E13CBetn07p04r4
2007,80.79,62.298,77.086,78.552
2008,78.288,52.507,43.811,92.276
2009,46.755,46.89,13.642,40.624
2010,24.944,9.041,0,28.155
2011,35.09,12.627,44.16,76.234
2012,0,0,0,0
2013,24.259,0,48.854,97.615
2014,0,0,0,55.668
2015,61.138,16.497,83.197,128.445
2016,50.19,5.773,37.825,74.221
2017,56.391,0,41.38,57.179
2018,295.966,248.071,301.828,347.318
2019,0,0,92.81,0
2020,0,0,0,0
