,E13CBetn07q02r1,E13CBetn07q02r2,E13CBetn07q02r3,E13CBetn07q02r4
2001,47.487,47.125,66.341,49.71
2002,0,0,0,0
2003,50.841,53.261,23.728,40.118
2004,37.253,39.563,11.255,27.055
2005,67.935,50.807,0,36.9
2006,0,0,0,0
2007,42.497,40.851,40.309,46.829
2008,66.956,71.312,59.244,37.321
2009,0,19.932,0,0
2010,62.529,108.113,71.403,43.502
2011,117.798,158.062,180.239,52.533
2012,15.782,84.81,80.794,0
2013,0,121.759,0,0
2014,15.471,130.439,0,0
2015,0,54.446,0,0
2016,21.926,75,34.416,0
2017,0,126.092,0,0
2018,0,171.429,66.368,0
2019,0,44.377,0,0
2020,0,0,0,0
