,E13CBetn01u01r1,E13CBetn01u01r2,E13CBetn01u01r3,E13CBetn01u01r4
2014,222.186,110.869,132.859,132.389
2015,185.994,254.168,230.072,184.181
2016,130.657,164.134,139.932,135.783
2017,108.383,159.587,128.685,160.526
2018,183.391,222.45,218.688,193.503
2019,127.068,124.6,114.395,109.313
2020,29.533,3.437,14.348,19.609
