,E13CBetn01u03r1,E13CBetn01u03r2,E13CBetn01u03r3,E13CBetn01u03r4
2015,80.156,72.269,103.272,126.425
2016,117.457,216.741,74.239,112.029
2017,176.655,87.346,163.507,197.413
2018,202.638,158.55,245.799,200.698
2019,102.214,128.125,95,102.075
2020,16.417,24.343,32.255,26.12
