,E13CBetn01u04r1,E13CBetn01u04r2,E13CBetn01u04r3,E13CBetn01u04r4
2017,126.708,112.527,126.352,125.021
2018,259.244,283.405,198.537,217.524
2019,68.788,93.989,117.845,114.421
2020,15.217,25.636,26.517,22.833
