,E13VBetn01p05r1,E13VBetn01p05r2,E13VBetn01p05r3,E13VBetn01p05r4
2012,41.819,45.652,53.907,44.623
2013,59.165,52.052,22.59,56.624
2014,45.312,43.521,33.757,42.994
2014,29.347,26.333,23.454,35.11
2015,3.531,2.877,3.235,8.322
2016,24.245,6.247,18.742,28.372
2017,103.104,95.588,75.196,116.677
2018,50.846,44.814,47.067,77.547
2019,12.321,2.354,1.383,27.775
2020,8.487,18.003,1.175,25.918
