,E13VBetn03r04r1,E13VBetn03r04r2,E13VBetn03r04r3,E13VBetn03r04r4
2005,131.343,147.839,150.713,116.571
2006,399.315,350.993,335.884,366.472
2007,210.094,132.212,160.892,208.383
2008,190.257,127.572,124.102,173.379
2009,112.926,70.059,101.735,136.724
2010,61.686,56.543,57.979,55.917
2011,36.613,32.897,59.918,60.256
2012,41.135,41.707,70.536,108.928
2013,94.486,76.841,129.172,109.051
2014,156.84,137.523,136.174,174.682
2015,16.048,40.44,29.716,105.486
2016,68.21,109.685,74.468,119.961
2017,175.526,203.962,148.336,167.396
2018,561.754,161.043,444.574,446.312
2019,223.849,250.792,261.704,250.612
2020,193.419,246.192,172.236,302.528
