,E13VBetn03o04r1,E13VBetn03o04r2,E13VBetn03o04r3,E13VBetn03o04r4
2010,50.275,51.48,65.22,54.359
2011,36.896,59.724,51.272,43.904
2012,40.536,35.509,34.437,42.832
2013,39.375,27.861,15.946,41.895
2014,39.371,6.998,3.873,23.587
2015,51.913,28.367,18.354,79.486
2016,23.817,21.848,14.297,38.053
2017,20.303,26.489,1.087,34.22
2018,86.425,43.516,94.07,165.429
2019,14.784,24.768,20.167,90.486
2020,72.884,2.562,71.557,64.883
