,E13ABetn03s04r1,E13ABetn03s04r2,E13ABetn03s04r3,E13ABetn03s04r4
2008,74.137,60.089,69.016,59.942
2009,114.332,142.706,146.679,102.661
2010,198.358,263.732,216.251,135.253
2011,137.362,158.015,109.953,73.4
2012,107.969,219.355,115.568,36.902
2013,78.94,35.428,125.65,69.851
2014,87.26,33.363,57.333,53.154
2015,54.614,26.251,32.477,15.508
2016,111.022,77.334,120.708,79.741
2017,42.93,40.481,30.45,24.835
2018,35.638,24.454,36.424,29.71
2019,20.762,1.41,17.501,1.199
2020,18.453,1.175,3.032,1.242
