,E13VBetn01p06r1,E13VBetn01p06r2,E13VBetn01p06r3,E13VBetn01p06r4
2014,81.411,71.977,83.948,71.977
2015,58.534,53.893,59.062,39.234
2016,48.061,49.086,38.651,40.557
2017,82.336,71.649,72.049,64.31
2018,39.837,51.061,9.705,19.607
2019,31.583,0,0,10.809
2020,26.614,65.502,21.056,4.243
