,E13VBetn01p03r1,E13VBetn01p03r2,E13VBetn01p03r3,E13VBetn01p03r4
2010,52.38,43.305,54.816,73.225
2011,27.452,20.677,18.738,31.578
2012,81.899,69.17,32.447,39.03
2013,107.551,105.216,70.747,74.876
2014,0,0,0,0
2015,36.031,34.512,30.965,14.343
2016,38.716,14.202,15.572,37.313
2017,120.613,115.112,73.752,110.647
2018,91.698,42.701,44.194,56.777
2019,31.02,0,0,0
2020,28.686,0,0,0
