,E13VBetn01p04r1,E13VBetn01p04r2,E13VBetn01p04r3,E13VBetn01p04r4
2010,36.03,35.799,36.855,28.263
2011,32.784,29.024,31.583,26.813
2012,39.121,52.235,41.066,29.642
2013,50.619,57.895,64.264,47.368
2014,20.494,13.97,8.748,15.345
2015,0,0,0,0
2016,22.41,31.057,17.902,25.4
2017,115.55,121.656,71.101,64.385
2018,68.472,65.804,32.122,23.708
2019,0,19.887,0,0
2020,39.474,0,0,0
