,E13VBetn01p01r1,E13VBetn01p01r2,E13VBetn01p01r3,E13VBetn01p01r4
2010,73.628,77.314,72.752,59.01
2011,43.604,38.797,21.637,41.053
2012,46.064,35.493,23.596,37.504
2013,142.323,200.988,111.795,80.986
2014,0,64.461,60.073,33.595
2015,0,34.321,0,0
2016,0,68.636,0,0
2017,130.911,250.602,97.66,60.316
2018,84.826,172.283,28.146,2.048
2019,0,46.941,0,0
2020,35.874,60.329,0,0
