,E13ABetn02t01r1,E13ABetn02t01r2,E13ABetn02t01r3,E13ABetn02t01r4
2001,145.327,51.502,69.642,88.222
2002,85.622,20.628,121.448,51.987
2003,66.585,0,65.018,31.917
2004,103.012,0,91.019,92.322
2005,110.046,0,77.682,81.99
2006,59.376,0,0,49.351
2007,60.177,0,0,39.266
2008,117.215,0,0,63.589
2009,30.279,0,0,6.681
2010,26.267,0,0,7.703
2011,76.505,0,55.472,69.599
2012,16.276,0,0,7.686
2013,127.569,0,0,61.592
2014,138.633,0,0,58.176
2015,113.43,0,0,3.342
2016,0,0,0,0
2017,12.393,0,5.285,2.553
2018,80.177,0,0,2.267
2019,70.174,36.254,0,75.099
2020,52.726,0,0,2.208
