,E13ABetn02t08r1,E13ABetn02t08r2,E13ABetn02t08r3,E13ABetn02t08r4
2001,100.545,59.56,80.495,93.666
2002,228.5,151.717,145.519,150.782
2003,124.749,75.389,95.905,81.421
2004,23.902,19.444,21.555,0
2005,133.571,102.867,118.778,124.353
2006,89.426,45.03,48.671,59.141
2007,0,0,0,0
2008,121.093,126.753,77.369,110.433
2009,52.511,62.521,57.148,44.493
2010,41.39,85.885,33.014,0
2011,17.694,51.596,35.886,25.895
2012,34.544,21.753,61.415,68.546
2013,0,0,0,0
2014,0,0,0,20.914
2015,87.664,74.765,73.731,69.599
2016,22.613,62.375,40.557,37.261
2017,0,30.983,8.981,60.736
2018,10.348,16.556,5.729,12.963
2019,66.028,14.441,37.295,42.649
2020,8.763,6.197,29.439,35.853
