,E13ABetn02t05r1,E13ABetn02t05r2,E13ABetn02t05r3,E13ABetn02t05r4
2001,79.286,0,0,62.672
2002,105.51,0,0,78.361
2003,57.323,0,0,49.698
2004,51.104,0,0,40.743
2005,20.545,0,0,18.55
2006,42.077,0,0,45.713
2007,0,0,0,0
2008,62.235,22.936,40.112,49.276
2009,57.717,16.613,0,43.644
2010,36.704,0,0,0
2011,17.803,0,0,0
2012,71.666,13.577,16.47,59.822
2013,36.218,0,0,8.224
2014,23.737,0,0,12.512
2015,83.513,20.139,41.109,69.159
2016,10.067,0,0,23.371
2017,10.067,0,0,0
2018,15.892,0,0,0
2019,5.192,0,0,0
2020,0,0,0,0
