,E13CBetn07p04r1,E13CBetn07p04r2,E13CBetn07p04r3,E13CBetn07p04r4
2007,80.79,62.298,77.086,78.552
2008,78.288,52.507,43.811,92.276
2009,46.755,46.89,13.642,40.624
2010,24.944,9.041,7.539,28.155
2011,35.09,12.627,44.16,76.234
2012,18.179,8.584,69.33,88.777
2013,24.259,5.081,48.854,97.615
2014,7.311,1.364,7.969,55.668
2015,61.138,16.497,83.197,128.445
2016,50.19,5.773,37.825,74.221
2017,56.391,2.77,41.38,57.179
2018,295.966,248.071,301.828,347.318
2019,2.025,2.657,92.81,10.638
2020,2.261,2.102,3.172,1.003
