,E13CBetn07p02r1,E13CBetn07p02r2,E13CBetn07p02r3,E13CBetn07p02r4
2007,62.29,48.083,42.048,40.792
2008,82.219,71.694,58.856,72.993
2009,35.44,16.125,8.246,21.333
2010,24.331,6.325,6,21.499
2011,52.612,37.736,10,53.483
2012,68.411,10,12,62.723
2013,65.513,10,12,51.195
2014,20,8.246,26.077,16.492
2015,94.021,17.088,12,71.678
2016,10,22,14,12.019
2017,108.296,26.306,36.222,130
2018,312.026,213.841,273.247,281.757
2019,10,10.77,55.714,58.088
2020,10.198,12.649,27.203,58.576
