,E13CBetn07p01r1,E13CBetn07p01r2,E13CBetn07p01r3,E13CBetn07p01r4
2007,92.126,76.896,100.148,79.824
2008,4.022,17.769,21.314,12.734
2009,3.664,37.295,20.624,9.856
2010,39.13,89.884,127.095,101.173
2011,4.533,30.599,48.71,28.261
2012,3.641,7.148,47.111,18.066
2013,50.78,113.599,115.679,72.664
2014,22.071,74.789,152.364,52.762
2015,5.163,42.673,71.871,36.656
2016,40.764,65.217,158.711,86.415
2017,163.487,154.505,194.509,135.063
2018,321.527,319.416,320.131,328.277
2019,131.253,114.292,2.176,66.903
2020,86.221,97.475,2.755,75.049
