,E13DBetn03o04r1,E13DBetn03o04r2,E13DBetn03o04r3,E13DBetn03o04r4
2002,123.471,97.736,123.488,63.578
2003,31.835,42.76,63.081,88.111
2004,48.556,34.79,58.856,35.692
2005,45.744,61.938,91.33,52.3
2006,37.134,78.985,84.07,45.452
2007,25.373,44.203,56.596,0
2008,70.35,145.724,146.406,63.148
2009,78.315,112.195,108.517,99.489
2010,76.101,165.016,155.154,116.315
2011,110.112,151.215,163.673,107.591
2012,184.025,217.532,208.035,159.758
2013,63.855,100.128,81.789,44.487
2014,60.424,0,0,25.029
2015,63.822,51.465,34.434,36.47
2016,109.88,35.151,73.628,105.931
2017,96.855,0,0,72.684
2018,80.055,62.165,86.025,88.824
2019,68.305,0,56.749,117.581
2020,20.496,0,0,84.711
