,E13VBetn01q01r1,E13VBetn01q01r2,E13VBetn01q01r3,E13VBetn01q01r4
2011,78.809,82.037,87.277,65.552
2012,140.155,91.019,100.92,160.487
2013,154.947,54.848,64.203,128.704
2014,106.964,3.074,32.961,105.334
2015,134.013,3.074,33.958,128.652
2016,78.505,3.074,3.074,84.687
2017,23.99,3.027,3.074,5.66
2018,22.37,2.324,3.074,5.225
2019,144.83,1.888,3.074,95.135
2020,36.101,1.856,2.05,4.874
