,E13VBetn01o06r1,E13VBetn01o06r2,E13VBetn01o06r3,E13VBetn01o06r4
2014,44.756,25.211,32.335,40.616
2015,34.181,53.451,52.3,40.275
2016,10.894,10.375,24.903,22.17
2017,30.65,44.203,79.016,47.914
2018,241.479,251.716,354.147,358.742
2019,177.002,156.189,227.508,186.254
2020,16.449,39.855,55.188,13.124
