,E13VBetn02v03r1,E13VBetn02v03r2,E13VBetn02v03r3,E13VBetn02v03r4
2017,78.823,81.885,34.244,57.166
2018,236.922,260.718,253.965,254.222
2019,129.263,113.607,151.894,149.252
2020,113.827,147.32,176.971,164.168
