,E13VBetn01o07r1,E13VBetn01o07r2,E13VBetn01o07r3,E13VBetn01o07r4
2016,47.091,54.726,62.296,54.481
2017,90.869,72.695,81.382,81.036
2018,338.005,244.857,271.39,353.702
2019,190.14,155.245,167.496,163.148
2020,32.48,30.201,32.015,15.676
