,E13VBetn01o03r1,E13VBetn01o03r2,E13VBetn01o03r3,E13VBetn01o03r4
2014,36.559,37.504,38.964,41.147
2015,41.999,37.437,53.529,39.693
2016,58.091,52.653,80.26,73.991
2017,29.896,10.991,71.452,68.151
2018,210.579,220.819,332.229,349.708
2019,168.484,177.725,232.637,249.104
2020,69.737,63.046,51.77,78.877
