,E13VBetn01o05r1,E13VBetn01o05r2,E13VBetn01o05r3,E13VBetn01o05r4
2014,45.016,32.057,49.111,46.884
2015,72.141,68.013,75.364,86.242
2016,13.968,30.128,15.09,0
2017,55.102,23.831,37.145,40.891
2018,346.179,254.395,266.237,315.529
2019,185.102,179.973,184.898,258.141
2020,34.14,45.112,62.5,43.168
