,E13ABetn03u02r1,E13ABetn03u02r2,E13ABetn03u02r3,E13ABetn03u02r4
2007,130.67,46.231,82.91,81.892
2008,143.006,196.157,194.467,187.414
2009,131.053,157.545,179.054,213.403
2010,129.991,174.233,208.056,214.498
2011,83.733,136.11,150.77,196.761
2012,124.343,175.974,212.943,228.514
2013,74.704,112.755,151.408,107.623
2014,83.166,86.122,121.871,95.82
2015,62.437,64.215,107.053,82.047
2016,53.151,79.463,127.035,87.537
2017,49.04,81.089,127.408,76.271
2018,86.863,63.324,66.434,55.955
2019,29.346,49.214,59.319,49.345
2020,20.751,44.684,75.24,40.895
