,E13VBetn01t04r1,E13VBetn01t04r2,E13VBetn01t04r3,E13VBetn01t04r4
2008,70.946,267.423,114.083,100.511
2009,86.936,48.134,60.957,89.369
2010,425.165,207.107,444.511,411.595
2011,305.086,203.496,274.921,272.132
2012,107.036,44.018,92.058,88.489
2013,127.624,47.678,155.856,137.339
2014,150.621,46.141,176.586,140.213
2015,39.401,15.873,12.676,4.099
2016,47.154,12.393,40.393,4.348
2017,173.181,12.827,142.308,131.916
2018,494.404,14.133,582.561,664.271
2019,355.336,94.011,465.853,346.535
2020,175.016,41.319,128.335,322.642
