,E13VBetn01t02r1,E13VBetn01t02r2,E13VBetn01t02r3,E13VBetn01t02r4
2008,69.532,65.649,63.118,86.086
2009,126.278,143.561,131.597,133.263
2010,189.296,201.248,174.204,162.299
2011,243.402,238.092,176.026,201.512
2012,255.801,273.061,233.829,248.431
2013,134.785,152.395,135.707,120.508
2014,44.951,31.353,45.37,29.851
2015,105.837,6.875,28.985,69.806
2016,96.445,10.093,53.151,136.724
2017,15.235,86.29,80.744,131.956
2018,256.587,318.267,449.666,520.104
2019,148.805,275.179,383.631,312.563
2020,3.902,325.649,130.829,95.366
