,E13DBetn02u01r1,E13DBetn02u01r2,E13DBetn02u01r3,E13DBetn02u01r4
2007,83.11,73.112,112.185,87.825
2008,209.825,229.098,209.905,175.479
2009,147.97,167.451,178.585,145.731
2010,83.724,143.742,133.938,91.408
2011,158.789,187.159,210.958,173.334
2012,128.302,140.222,126.552,128.833
2013,135.909,159.916,193.037,187.724
2014,8.278,75.394,112.998,105.931
2015,14.502,8.341,20.042,28.858
2016,15.256,9.087,52.276,43.749
2017,134.8,56.217,106.572,121.569
2018,223.041,189.243,275.421,282.747
2019,334.926,270.825,266.446,286.598
2020,222.892,146.622,198.791,200.599
