,E13CBetn07v06r1,E13CBetn07v06r2,E13CBetn07v06r3,E13CBetn07v06r4
2012,76.881,129.396,71.149,93.821
2013,87.321,72.933,95.136,87.213
2014,197.402,168.194,189.338,170.356
2015,174.005,155.893,183.105,166.473
2016,88.685,92.359,88.539,86.305
2017,107.932,108.756,136.713,112.003
2018,132.055,113.234,126.197,118.469
2019,118.562,102.807,90.347,114.238
2020,82.739,92.118,82.632,74.356
