,E13DBetn02s03r1,E13DBetn02s03r2,E13DBetn02s03r3,E13DBetn02s03r4
2004,57.822,135.634,128.893,93.949
2005,70.035,70.763,67.012,94.273
2006,284.447,233.442,245.274,242.615
2007,183.197,180.44,177.405,147.712
2008,183.58,187.182,151.897,153.931
2009,188.986,176.818,190.936,174.015
2010,215.943,230.988,267.127,293.549
2011,333.412,310.657,393.931,417.817
2012,259.883,215.557,251.841,262.319
2013,360.221,298.785,377.912,386.275
2014,317.792,255.636,277.145,305.811
2015,88.977,88.705,80.17,85.519
2016,87.801,107.405,153.486,185.543
2017,195.024,202.688,225.752,245.082
2018,129.708,333.453,477.176,521.91
2019,170.56,347.418,472.189,485.957
2020,209.419,207.104,358.466,366.701
