,E13CBetn01s02r1,E13CBetn01s02r2,E13CBetn01s02r3,E13CBetn01s02r4
2007,100.045,77.553,113.195,74.281
2008,190.029,270.907,218.79,244.198
2009,163.055,157.248,218.114,176.369
2010,141.986,188.574,222.445,190.68
2011,138.798,155.407,186.452,123.608
2012,133.217,147.451,173.363,139.055
2013,202.549,181.196,191.81,215.443
2014,15.235,15.355,22.638,0
2015,34.049,38.262,34.639,40.122
2016,29.169,28.261,52.063,36.478
2017,150.953,114.66,150.935,182.547
2018,186.704,120.569,105.633,168.673
2019,145.694,130.379,99.003,123.631
2020,145.327,77.648,12.404,105.485
