,E13DBetn02q02r1,E13DBetn02q02r2,E13DBetn02q02r3,E13DBetn02q02r4
2006,64.75,66.691,64.233,34.287
2007,51.893,73.317,68.978,29.617
2008,18.854,39.499,36.052,46.289
2009,33.17,40.445,38.413,53.704
2010,40.165,58.79,58.344,49.281
2011,26.31,35.509,55.077,30.935
2012,56.486,54.769,113.406,119.158
2013,49.583,64.502,58.658,67.029
2014,80.053,82.342,84.047,90.125
2015,45.728,46.219,81.506,98.091
2016,0,0,30.799,67.194
2017,86.204,92.863,99.387,126.617
2018,152.992,115.445,206.602,232.356
2019,172.339,173.89,173.649,171.597
2020,165.31,146.102,111.152,90.598
