,E13CBetn07t06r1,E13CBetn07t06r2,E13CBetn07t06r3,E13CBetn07t06r4
2013,108.217,148.616,95.573,208.296
2014,423.234,374.06,453.212,327.793
2015,147.16,141.184,123.932,127.873
2016,217.122,228.941,192.971,212.211
2017,191.483,185.965,197.672,194.354
2018,280.501,317.762,374.803,228.472
2019,89.633,85.768,81.007,65.394
2020,94.77,147.842,169.178,95.204
