,E13CBetn07t02r1,E13CBetn07t02r2,E13CBetn07t02r3,E13CBetn07t02r4
2008,56.759,51.346,67.109,48.987
2009,256.846,277.883,237.287,257.293
2010,172.939,144.161,149.512,162.836
2011,156.494,144.343,136.501,130.97
2012,54.332,51.538,64.103,95.425
2013,61.964,56.643,85.581,77.984
2014,155.757,150.761,164.654,118.199
2015,76.107,65.372,89.78,85.696
2016,133.358,121.842,136.501,120.982
2017,145.771,157.75,171.967,157.979
2018,197.052,253.483,274.155,277.693
2019,62.017,72.524,84.654,72.885
2020,81.448,114.239,56.643,66.172
