,E13CBetn07t04r1,E13CBetn07t04r2,E13CBetn07t04r3,E13CBetn07t04r4
2010,82.621,126.687,40.092,92.779
2011,130.949,129.077,138.054,115.147
2012,155.817,186.979,206.649,184.572
2013,196.421,148.567,162.243,202.801
2014,263.085,188.545,190.303,297.07
2015,126.963,82.637,80.183,143.224
2016,176.807,111.785,137.836,189.27
2017,150.824,158.052,162.345,164.307
2018,347.776,338.38,292.776,297.6
2019,111.634,84.435,52.179,90.224
2020,99.318,155.133,113.805,67.47
