,E13VBetn03u05r1,E13VBetn03u05r2,E13VBetn03u05r3,E13VBetn03u05r4
2017,76.42,80.895,43.681,39.85
2018,422.095,422.966,377.534,401.487
2019,203.931,214.597,208.614,202.386
2020,175.385,210.761,177.133,134.462
