,E13VBetn02u05r1,E13VBetn02u05r2,E13VBetn02u05r3,E13VBetn02u05r4
2017,88.363,94.763,62.29,63.561
2018,454.634,442.547,491.972,526.642
2019,266.068,250.966,274.729,280.114
2020,273.057,251.794,253.14,256.195
