,E13VBetn02u07r1,E13VBetn02u07r2,E13VBetn02u07r3,E13VBetn02u07r4
2018,90.022,76.026,42,52.154
2019,333.305,349.044,334.293,350.28
2020,285.412,262.122,226,246.398
