,E13VBetn02u01r1,E13VBetn02u01r2,E13VBetn02u01r3,E13VBetn02u01r4
2008,134.872,96.507,115.406,96.706
2009,220.092,241.834,223.454,270.019
2010,211.418,285.89,269.581,273.118
2011,116.523,175.551,200.755,139.451
2012,63.525,118.704,148.126,124.254
2013,28.667,59.088,99.299,88.992
2014,94.108,170.845,178.274,188.88
2015,5.542,4.253,6.522,6.705
2016,6.255,4.861,8.816,6.343
2017,8.262,6.191,57.32,97.255
2018,98.817,100.852,327.479,348.831
2019,4.724,3.343,283.868,201.012
2020,20.655,10.344,155.622,157.248
