,E13ABetn02s10r1,E13ABetn02s10r2,E13ABetn02s10r3,E13ABetn02s10r4
2001,176.479,127.801,30.483,68.749
2002,54.932,27.075,6.131,8.726
2003,223.274,200.174,101.038,162.61
2004,70.107,11.796,4.157,45.836
2005,61.526,20.186,4.815,6.836
2006,117.2,132.753,88.462,102.472
2007,15.676,6.532,4.253,3.205
2008,92.551,52.371,44.816,48.209
2009,28.198,36.664,5.96,3.074
2010,174.567,128.686,6.711,85.114
2011,143.561,74.589,115.539,52.31
2012,12.298,40.931,68.475,0.679
2013,16.304,27.52,0.531,0.722
2014,113.111,92.8,0.49,0.641
2015,68.745,59.777,0.531,0.673
2016,51.856,7.469,0.456,0.584
2017,102.854,17.183,0.49,0.531
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
