,E13VBetn02p02r1,E13VBetn02p02r2,E13VBetn02p02r3,E13VBetn02p02r4
2013,32.028,29.605,8.433,20.396
2014,42.374,28,36.025,44.081
2015,26.998,40.486,43.41,36.099
2016,20.177,18.962,16.055,20
2017,109.179,104.028,119.935,112.097
2018,355.77,381.28,382.625,334.667
2019,173.666,194.136,225.396,68.209
2020,26.965,56.063,57.349,28
