,E13VBetn02p07r1,E13VBetn02p07r2,E13VBetn02p07r3,E13VBetn02p07r4
2015,25.333,23.795,24.148,28.071
2016,48.005,54.589,57.789,60.798
2017,39.129,45.265,34.13,36.099
2018,156.001,132.618,160.069,154.667
2019,78.102,117.307,160,132.574
2020,22.755,16.235,15.348,21.187
