,E13CBetn03s07r1,E13CBetn03s07r2,E13CBetn03s07r3,E13CBetn03s07r4
2017,159.261,91.389,94.53,48.703
2018,396.005,454.739,348.31,363.142
2019,222.081,230.703,233.829,245.577
2020,213.354,341.315,237.065,212.151
