,E13ABetn03p06r1,E13ABetn03p06r2,E13ABetn03p06r3,E13ABetn03p06r4
2015,38.74,56.472,52.205,38.544
2016,43.426,46.023,31.356,12.849
2017,32.968,50.041,16.525,24.456
2018,0,47.039,20.209,25.46
2019,13.231,39.808,8.083,11.067
2020,17.151,35.64,0,0
