,E13VBetn01r03r1,E13VBetn01r03r2,E13VBetn01r03r3,E13VBetn01r03r4
2008,47.542,66.771,71.186,48.442
2009,44.777,47.07,49.965,64.379
2010,86.488,52.661,104.399,65.904
2011,89.996,93,148.786,162.572
2012,131.198,112.302,258.204,204.027
2013,61.298,33.805,104.393,124.325
2014,6.076,12.676,4.861,19.444
2015,19.686,3.437,30.829,47.41
2016,84.791,69.786,87.852,63.682
2017,5.542,4.861,11.684,30.147
2018,217.308,20.88,120.233,217.912
2019,101.123,30.064,41.482,150.584
2020,2.241,12.964,10.375,48.988
