,E13VBetn03t06r1,E13VBetn03t06r2,E13VBetn03t06r3,E13VBetn03t06r4
2016,121.341,123.195,44.502,39.373
2017,64.014,54.926,81.377,68.3
2018,474.601,432.083,464.509,406.039
2019,256.025,206.409,245.076,263.643
2020,187.924,169.349,178.428,181.823
