,E13CBetn03t02r1,E13CBetn03t02r2,E13CBetn03t02r3,E13CBetn03t02r4
2017,46.043,44.045,48.083,32.985
2018,276.492,283.196,282.843,295.256
2019,112.641,93.509,106.827,112.089
2020,110.454,174,120.88,68.411
