,E13CBetn03t03r1,E13CBetn03t03r2,E13CBetn03t03r3,E13CBetn03t03r4
2017,120.184,118.235,107.081,134.138
2018,193.824,165.881,200.615,167.321
2019,127.068,128.846,118.697,131.701
2020,156.045,182.612,166.361,163.007
