,E13CBetn03t04r1,E13CBetn03t04r2,E13CBetn03t04r3,E13CBetn03t04r4
2018,173.704,89.687,273.102,77.049
2019,109.288,156.045,13.223,150.818
2020,197.678,223.423,61.978,203.459
