,E13VBetn03t01r1,E13VBetn03t01r2,E13VBetn03t01r3,E13VBetn03t01r4
2006,135.987,69.672,102.432,89.777
2007,167.021,162.377,158.755,158.316
2008,114.742,126.886,101.164,132.878
2009,90.138,85.227,79.317,66.097
2010,60.332,66.513,39.238,44.998
2011,45.381,80.643,39.191,25.732
2012,60.458,100.024,44.933,18.63
2013,95.973,116.748,97.112,42.01
2014,159.41,209.43,148.765,116.06
2015,25.31,45.213,31.193,28.849
2016,65.619,53.299,65.028,60.636
2017,102.238,123.497,114.272,71.706
2018,419.746,501.016,426.724,381.08
2019,158.801,314.411,233.982,218.01
2020,220.043,306.765,240.607,212.66
