,E13VBetn02p08r1,E13VBetn02p08r2,E13VBetn02p08r3,E13VBetn02p08r4
2016,40,40.503,31.038,46.317
2017,24.561,60.727,53.4,42.781
2018,88.965,148.036,195.026,133.227
2019,17.701,51.488,76.543,30.318
2020,0,0,24.561,0
